Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
momma,19,19,8.08,1.58,0.69,1.00
mama,19,19,103.71,1.89,1.29,1.00
bantling,21,1,#N/A,2.00,NA,0.05
mom,18,18,430.39,2.22,1.22,1.00
potty,18,18,1.69,2.28,0.83,1.00
yes,21,21,1996.76,2.31,1.68,1.00
water,19,19,225.06,2.37,0.76,1.00
ouch,21,21,10.96,2.42,1.34,1.00
wet,19,19,39.22,2.47,1.35,1.00
mommy,20,20,70.92,2.50,1.50,1.00
spoon,18,18,7.61,2.50,0.79,1.00
nap,19,19,12.65,2.53,0.77,1.00
daddy,18,18,185.08,2.56,1.29,1.00
dad,19,19,507.25,2.58,1.17,1.00
grandma,19,19,45.59,2.58,1.30,1.00
hug,19,19,19.33,2.58,0.96,1.00
shoe,1923,1923,30.39,2.60,1.19,1.00
count,18,18,89.96,2.61,0.98,1.00
mother,19,19,479.92,2.63,1.07,1.00
my,21,21,6762.73,2.72,1.44,1.00
no,21,21,5971.55,2.72,1.94,1.00
happy,18,18,333.20,2.72,1.60,1.00
carrot,19,19,3.82,2.74,1.28,1.00
hand,19,19,279.65,2.74,1.24,1.00
cry,18,18,65.65,2.78,1.66,1.00
eat,18,18,251.88,2.78,1.48,1.00
snack,18,18,9.14,2.78,1.22,1.00
bad,19,19,545.18,2.79,1.27,1.00
sleep,19,19,227.94,2.79,1.03,1.00
I,22,22,39971.16,2.79,1.26,1.00
dog,20,20,192.84,2.80,1.20,1.00
jump,19,19,69.82,2.84,1.30,1.00
birthday,20,20,97.22,2.85,0.99,1.00
animal,19,19,45.49,2.89,1.41,1.00
ask,19,19,483.14,2.89,1.37,1.00
bed,19,19,187.12,2.89,1.41,1.00
big,18,18,682.82,2.89,1.08,1.00
stop,18,18,707.27,2.89,1.60,1.00
a,22,22,20415.27,2.89,1.21,1.00
ball,21,21,104.96,2.90,1.22,1.00
up,21,21,3670.00,2.92,1.68,1.00
sock,18,18,8.98,2.94,1.39,1.00
nose,20,20,69.75,2.95,1.15,1.00
bathroom,19,19,61.67,3.00,1.41,1.00
leg,18,18,56.51,3.00,1.50,1.00
neck,19,19,59.51,3.00,1.25,1.00
toe,20,20,12.69,3.00,1.08,1.00
toy,19,19,16.84,3.00,1.15,1.00
door,20,20,292.06,3.05,1.15,1.00
fly,19,19,85.00,3.05,1.18,1.00
papa,22,22,42.59,3.05,1.50,1.00
grandpa,18,18,32.57,3.06,1.83,1.00
see,18,18,2556.73,3.06,1.43,1.00
cartoon,18,18,3.76,3.11,1.32,1.00
clothes,18,18,101.14,3.11,1.41,1.00
flower,19,19,22.76,3.11,1.24,1.00
grandmamma,19,19,0.20,3.11,1.88,1.00
man,19,19,1845.75,3.11,1.24,1.00
lap,20,20,13.47,3.15,1.18,1.00
house,19,19,514.00,3.16,1.07,1.00
get,18,18,4583.76,3.17,1.29,1.00
hair,18,18,153.55,3.17,1.76,1.00
soap,18,18,15.20,3.17,1.10,1.00
crayon,20,20,0.41,3.20,1.47,1.00
yellow,20,20,33.80,3.20,1.32,1.00
pinkie,19,19,1.67,3.21,1.40,1.00
bathtub,18,18,6.10,3.22,1.35,1.00
rock,18,18,86.16,3.22,1.17,1.00
small,18,18,124.96,3.22,1.52,1.00
towel,18,18,14.16,3.22,1.06,1.00
nine,21,21,67.47,3.23,1.30,1.00
one,22,22,3072.24,3.23,1.31,1.00
pants,22,22,58.75,3.23,1.75,1.00
bath,1934,1934,31.12,3.23,1.56,1.00
sad,21,21,63.37,3.24,2.21,1.00
fire,20,20,215.49,3.25,1.16,1.00
food,20,20,154.43,3.25,1.21,1.00
arm,19,19,65.41,3.26,1.56,1.00
cake,19,19,45.06,3.26,2.28,1.00
chicken,19,19,61.73,3.26,1.73,1.00
drop,19,19,130.61,3.26,1.33,1.00
orange,19,19,22.31,3.26,1.15,1.00
puppy,18,18,11.45,3.28,1.13,1.00
bye,21,21,180.08,3.28,2.16,1.00
fell,21,21,73.00,3.28,1.20,1.00
me,22,22,9241.94,3.28,1.50,1.00
out,21,21,3865.31,3.28,1.56,1.00
come,19,19,3140.98,3.32,1.42,1.00
chocolate,18,18,29.39,3.33,1.14,1.00
hat,18,18,64.18,3.33,1.14,1.00
toothpaste,18,18,3.14,3.33,1.46,1.00
icecream,21,21,#N/A,3.33,1.26,1.00
underpants,20,20,2.94,3.35,1.46,1.00
car,19,19,483.06,3.37,1.95,1.00
cookie,19,19,16.71,3.37,1.86,1.00
go,19,19,3793.04,3.37,1.46,1.00
hot,19,19,189.84,3.37,1.77,1.00
milk,19,19,42.53,3.37,1.42,1.00
sleepy,19,19,8.57,3.37,1.89,1.00
backyard,21,21,7.24,3.38,1.88,1.00
family,21,21,354.25,3.38,1.43,1.00
clap,20,20,4.73,3.40,1.73,1.00
diaper,21,20,4.27,3.40,1.82,0.95
sun,20,20,69.67,3.40,1.64,1.00
bean,19,19,6.84,3.42,1.12,1.00
head,19,19,371.51,3.42,1.02,1.00
say,19,19,1639.78,3.42,1.07,1.00
yummy,19,19,4.47,3.42,1.68,1.00
him,21,21,3484.51,3.43,1.21,1.00
okay,22,21,2006.27,3.43,1.50,0.95
chair,21,21,49.24,3.43,1.33,1.00
finger,21,21,36.67,3.43,2.20,1.00
spider,21,21,10.10,3.43,1.54,1.00
foot,18,18,64.92,3.44,1.38,1.00
noodle,18,18,2.90,3.44,1.98,1.00
oink,19,18,1.08,3.44,1.85,0.95
sorry,18,18,1167.96,3.44,1.89,1.00
try,18,18,476.75,3.44,2.15,1.00
eyes,22,22,221.55,3.44,1.36,1.00
walk,20,20,215.86,3.45,2.04,1.00
breakfast,19,19,66.29,3.47,1.81,1.00
drink,19,19,247.39,3.47,1.31,1.00
hill,19,19,37.55,3.47,1.47,1.00
pillow,19,19,11.39,3.47,1.35,1.00
sing,19,19,97.59,3.47,1.31,1.00
sit,19,19,311.35,3.47,2.25,1.00
snowman,19,19,1.90,3.47,0.90,1.00
goodbye,22,22,116.51,3.47,1.38,1.00
tv,22,22,101.94,3.47,1.11,1.00
pajamas,21,21,5.82,3.48,1.58,1.00
please,21,21,1100.96,3.48,1.22,1.00
coloring,18,18,1.80,3.50,1.25,1.00
day,18,18,801.82,3.50,1.58,1.00
duck,20,20,24.76,3.50,1.64,1.00
smile,1930,1930,58.00,3.51,1.72,1.00
bird,21,21,45.45,3.52,1.66,1.00
people,21,21,1102.98,3.52,1.60,1.00
blue,19,19,102.39,3.53,1.68,1.00
moo,19,19,2.08,3.53,1.87,1.00
shirt,19,19,46.37,3.53,1.12,1.00
thanks,19,19,623.31,3.53,1.35,1.00
woof,19,19,2.76,3.53,1.87,1.00
kitty,21,21,26.71,3.54,1.59,1.00
toilet,1934,1933,28.90,3.54,1.65,1.00
good,20,20,2610.14,3.55,1.61,1.00
