Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,word,word_clean,wn_pos,wn_lexname,wn_lex_clean,wn_level1,wn_level2,wn_level1_name,wn_level2_name
animal,19,19,45.49,2.89,1.41,1,animal,animal,n,noun.Tops,Tops,organism.n.01,living_thing.n.01,organism,living_thing
beast,19,19,24.55,5.74,2.79,1,beast,beast,n,noun.Tops,Tops,organism.n.01,living_thing.n.01,organism,living_thing
creature,19,19,21.41,7.32,2.4,1,creature,creature,n,noun.Tops,Tops,organism.n.01,living_thing.n.01,organism,living_thing
event,21,21,26.37,7.81,2.82,1,event,event,n,noun.Tops,Tops,psychological_feature.n.01,abstraction.n.06,psychological_feature,abstraction
feeling,21,21,168.18,5.31,1.86,1,feeling,feeling,n,noun.Tops,Tops,state.n.02,attribute.n.02,state,attribute
food,20,20,154.43,3.25,1.21,1,food,food,n,noun.Tops,Tops,substance.n.07,matter.n.03,substance,matter
group,18,18,73.76,5.94,1.89,1,group,group,n,noun.Tops,Tops,abstraction.n.06,entity.n.01,abstraction,entity
individual,20,20,11.69,7.7,2.52,1,individual,individual,n,noun.Tops,Tops,causal_agent.n.01,physical_entity.n.01,causal_agent,physical_entity
knowledge,19,19,25.53,7.68,1.95,1,knowledge,knowledge,n,noun.Tops,Tops,psychological_feature.n.01,abstraction.n.06,psychological_feature,abstraction
location,21,21,24.76,6.86,2.31,1,location,location,n,noun.Tops,Tops,object.n.01,physical_entity.n.01,object,physical_entity
object,18,18,25.76,7.94,3.04,1,object,object,n,noun.Tops,Tops,physical_entity.n.01,entity.n.01,physical_entity,entity
person,21,21,212.88,4.67,1.88,1,person,person,n,noun.Tops,Tops,causal_agent.n.01,physical_entity.n.01,causal_agent,physical_entity
somebody,22,22,344.53,5.31,2.17,1,somebody,somebody,n,noun.Tops,Tops,causal_agent.n.01,physical_entity.n.01,causal_agent,physical_entity
someone,22,22,446.12,4.92,1.53,1,someone,someone,n,noun.Tops,Tops,causal_agent.n.01,physical_entity.n.01,causal_agent,physical_entity
space,18,18,66.06,5.67,1.91,1,space,space,n,noun.Tops,Tops,attribute.n.02,abstraction.n.06,attribute,abstraction
action,18,18,61.08,6.67,2.83,1,action,action,n,noun.act,act,act.n.02,event.n.01,act,event
activity,19,19,12.88,6.47,2.84,1,activity,activity,n,noun.act,act,act.n.02,event.n.01,act,event
adoption,19,19,4.69,7.79,3.08,1,adoption,adoption,n,noun.act,act,blessing.n.01,support.n.02,blessing,support
adventure,18,18,13.43,5.67,1.81,1,adventure,adventure,n,noun.act,act,undertaking.n.01,work.n.01,undertaking,work
annoying,21,21,11.12,6.52,2.71,1,annoying,annoying,n,noun.act,act,mistreatment.n.01,practice.n.01,mistreatment,practice
appointment,19,19,30.57,7.53,3.04,1,appointment,appointment,n,noun.act,act,decision.n.01,choice.n.02,decision,choice
approval,19,19,8.39,7.95,2.27,1,approval,approval,n,noun.act,act,support.n.02,aid.n.02,support,aid
arrest,19,19,59.55,7.47,2.46,1,arrest,arrest,n,noun.act,act,capture.n.01,acquiring.n.01,capture,acquiring
assignment,19,19,17.88,7,2.56,1,assignment,assignment,n,noun.act,act,duty.n.02,work.n.01,duty,work
attack,19,19,75.55,6.58,2.32,1,attack,attack,n,noun.act,act,operation.n.05,activity.n.01,operation,activity
