"Word","OccurTotal","OccurNum","Freq_pm","Rating.Mean","Rating.SD","Dunno","word","word_clean","lexname","wn_category"
"momma",19,19,"8.08",1.58,0.69,1,"momma","momma","noun.person","person"
"mama",19,19,"103.71",1.89,1.29,1,"mama","mama","noun.person","person"
"bantling",21,1,"#N/A",2,NA,0.05,"bantling","bantling",NA,NA
"mom",18,18,"430.39",2.22,1.22,1,"mom","mom","noun.person","person"
"potty",18,18,"1.69",2.28,0.83,1,"potty","potty","noun.artifact","artifact"
"yes",21,21,"1996.76",2.31,1.68,1,"yes","yes","noun.communication","communication"
"water",19,19,"225.06",2.37,0.76,1,"water","water","noun.substance","substance"
"ouch",21,21,"10.96",2.42,1.34,1,"ouch","ouch",NA,NA
"wet",19,19,"39.22",2.47,1.35,1,"wet","wet","noun.state","state"
"mommy",20,20,"70.92",2.5,1.5,1,"mommy","mommy","noun.person","person"
"spoon",18,18,"7.61",2.5,0.79,1,"spoon","spoon","noun.artifact","artifact"
"nap",19,19,"12.65",2.53,0.77,1,"nap","nap","noun.time","time"
"daddy",18,18,"185.08",2.56,1.29,1,"daddy","daddy","noun.person","person"
"dad",19,19,"507.25",2.58,1.17,1,"dad","dad","noun.person","person"
"grandma",19,19,"45.59",2.58,1.3,1,"grandma","grandma","noun.person","person"
"hug",19,19,"19.33",2.58,0.96,1,"hug","hug","noun.act","act"
"shoe",1923,1923,"30.39",2.6,1.19,1,"shoe","shoe","noun.artifact","artifact"
"count",18,18,"89.96",2.61,0.98,1,"count","count","noun.quantity","quantity"
"mother",19,19,"479.92",2.63,1.07,1,"mother","mother","noun.person","person"
"my",21,21,"6762.73",2.72,1.44,1,"my","my",NA,NA
"no",21,21,"5971.55",2.72,1.94,1,"no","no","noun.communication","communication"
"happy",18,18,"333.20",2.72,1.6,1,"happy","happy",NA,NA
"carrot",19,19,"3.82",2.74,1.28,1,"carrot","carrot","noun.plant","plant"
"hand",19,19,"279.65",2.74,1.24,1,"hand","hand","noun.body","body"
"cry",18,18,"65.65",2.78,1.66,1,"cry","cry","noun.communication","communication"
"eat",18,18,"251.88",2.78,1.48,1,"eat","eat",NA,NA
"snack",18,18,"9.14",2.78,1.22,1,"snack","snack","noun.food","food"
"bad",19,19,"545.18",2.79,1.27,1,"bad","bad","noun.attribute","attribute"
"sleep",19,19,"227.94",2.79,1.03,1,"sleep","sleep","noun.state","state"
"I",22,22,"39971.16",2.79,1.26,1,"I","i","noun.substance","substance"
"dog",20,20,"192.84",2.8,1.2,1,"dog","dog","noun.animal","animal"
"jump",19,19,"69.82",2.84,1.3,1,"jump","jump","noun.event","event"
"birthday",20,20,"97.22",2.85,0.99,1,"birthday","birthday","noun.time","time"
"animal",19,19,"45.49",2.89,1.41,1,"animal","animal","noun.Tops","noun.Tops"
"ask",19,19,"483.14",2.89,1.37,1,"ask","ask",NA,NA
"bed",19,19,"187.12",2.89,1.41,1,"bed","bed","noun.artifact","artifact"
"big",18,18,"682.82",2.89,1.08,1,"big","big",NA,NA
"stop",18,18,"707.27",2.89,1.6,1,"stop","stop","noun.event","event"
"a",22,22,"20415.27",2.89,1.21,1,"a","a","noun.quantity","quantity"
"ball",21,21,"104.96",2.9,1.22,1,"ball","ball","noun.artifact","artifact"
"up",21,21,"3670.00",2.92,1.68,1,"up","up",NA,NA
"sock",18,18,"8.98",2.94,1.39,1,"sock","sock","noun.artifact","artifact"
"nose",20,20,"69.75",2.95,1.15,1,"nose","nose","noun.body","body"
"bathroom",19,19,"61.67",3,1.41,1,"bathroom","bathroom","noun.artifact","artifact"
"leg",18,18,"56.51",3,1.5,1,"leg","leg","noun.body","body"
"neck",19,19,"59.51",3,1.25,1,"neck","neck","noun.body","body"
"toe",20,20,"12.69",3,1.08,1,"toe","toe","noun.body","body"
"toy",19,19,"16.84",3,1.15,1,"toy","toy","noun.artifact","artifact"
"door",20,20,"292.06",3.05,1.15,1,"door","door","noun.artifact","artifact"
"fly",19,19,"85.00",3.05,1.18,1,"fly","fly","noun.animal","animal"
"papa",22,22,"42.59",3.05,1.5,1,"papa","papa","noun.person","person"
"grandpa",18,18,"32.57",3.06,1.83,1,"grandpa","grandpa","noun.person","person"
"see",18,18,"2556.73",3.06,1.43,1,"see","see","noun.location","location"
"cartoon",18,18,"3.76",3.11,1.32,1,"cartoon","cartoon","noun.communication","communication"
"clothes",18,18,"101.14",3.11,1.41,1,"clothes","clothes","noun.artifact","artifact"
"flower",19,19,"22.76",3.11,1.24,1,"flower","flower","noun.plant","plant"
"grandmamma",19,19,"0.20",3.11,1.88,1,"grandmamma","grandmamma",NA,NA
"man",19,19,"1845.75",3.11,1.24,1,"man","man","noun.person","person"
"lap",20,20,"13.47",3.15,1.18,1,"lap","lap","noun.body","body"
"house",19,19,"514.00",3.16,1.07,1,"house","house","noun.artifact","artifact"
"get",18,18,"4583.76",3.17,1.29,1,"get","get","noun.act","act"
"hair",18,18,"153.55",3.17,1.76,1,"hair","hair","noun.body","body"
"soap",18,18,"15.20",3.17,1.1,1,"soap","soap","noun.artifact","artifact"
"crayon",20,20,"0.41",3.2,1.47,1,"crayon","crayon","noun.artifact","artifact"
"yellow",20,20,"33.80",3.2,1.32,1,"yellow","yellow","noun.attribute","attribute"
"pinkie",19,19,"1.67",3.21,1.4,1,"pinkie","pinkie","noun.body","body"
"bathtub",18,18,"6.10",3.22,1.35,1,"bathtub","bathtub","noun.artifact","artifact"
"rock",18,18,"86.16",3.22,1.17,1,"rock","rock","noun.object","object"
"small",18,18,"124.96",3.22,1.52,1,"small","small","noun.body","body"
"towel",18,18,"14.16",3.22,1.06,1,"towel","towel","noun.artifact","artifact"
"nine",21,21,"67.47",3.23,1.3,1,"nine","nine","noun.quantity","quantity"
"one",22,22,"3072.24",3.23,1.31,1,"one","one","noun.quantity","quantity"
"pants",22,22,"58.75",3.23,1.75,1,"pants","pants","noun.artifact","artifact"
"bath",1934,1934,"31.12",3.23,1.56,1,"bath","bath","noun.artifact","artifact"
"sad",21,21,"63.37",3.24,2.21,1,"sad","sad",NA,NA
"fire",20,20,"215.49",3.25,1.16,1,"fire","fire","noun.event","event"
"food",20,20,"154.43",3.25,1.21,1,"food","food","noun.Tops","noun.Tops"
"arm",19,19,"65.41",3.26,1.56,1,"arm","arm","noun.body","body"
"cake",19,19,"45.06",3.26,2.28,1,"cake","cake","noun.artifact","artifact"
"chicken",19,19,"61.73",3.26,1.73,1,"chicken","chicken","noun.food","food"
"drop",19,19,"130.61",3.26,1.33,1,"drop","drop","noun.shape","noun.shape"
"orange",19,19,"22.31",3.26,1.15,1,"orange","orange","noun.food","food"
"puppy",18,18,"11.45",3.28,1.13,1,"puppy","puppy","noun.animal","animal"
"bye",21,21,"180.08",3.28,2.16,1,"bye","bye","noun.communication","communication"
"fell",21,21,"73.00",3.28,1.2,1,"fell","fell","noun.substance","substance"
"me",22,22,"9241.94",3.28,1.5,1,"me","me","noun.location","location"
"out",21,21,"3865.31",3.28,1.56,1,"out","out","noun.act","act"
"come",19,19,"3140.98",3.32,1.42,1,"come","come","noun.body","body"
"chocolate",18,18,"29.39",3.33,1.14,1,"chocolate","chocolate","noun.food","food"
"hat",18,18,"64.18",3.33,1.14,1,"hat","hat","noun.artifact","artifact"
"toothpaste",18,18,"3.14",3.33,1.46,1,"toothpaste","toothpaste","noun.artifact","artifact"
"icecream",21,21,"#N/A",3.33,1.26,1,"icecream","icecream","noun.food","food"
"underpants",20,20,"2.94",3.35,1.46,1,"underpants","underpants","noun.artifact","artifact"
"car",19,19,"483.06",3.37,1.95,1,"car","car","noun.artifact","artifact"
"cookie",19,19,"16.71",3.37,1.86,1,"cookie","cookie","noun.food","food"
"go",19,19,"3793.04",3.37,1.46,1,"go","go","noun.time","time"
"hot",19,19,"189.84",3.37,1.77,1,"hot","hot",NA,NA
"milk",19,19,"42.53",3.37,1.42,1,"milk","milk","noun.food","food"
"sleepy",19,19,"8.57",3.37,1.89,1,"sleepy","sleepy",NA,NA
"backyard",21,21,"7.24",3.38,1.88,1,"backyard","backyard","noun.artifact","artifact"
"family",21,21,"354.25",3.38,1.43,1,"family","family","noun.group","group"
"clap",20,20,"4.73",3.4,1.73,1,"clap","clap","noun.event","event"
"diaper",21,20,"4.27",3.4,1.82,0.95,"diaper","diaper","noun.artifact","artifact"
"sun",20,20,"69.67",3.4,1.64,1,"sun","sun","noun.object","object"
"bean",19,19,"6.84",3.42,1.12,1,"bean","bean","noun.food","food"
"head",19,19,"371.51",3.42,1.02,1,"head","head","noun.body","body"
"say",19,19,"1639.78",3.42,1.07,1,"say","say","noun.state","state"
"yummy",19,19,"4.47",3.42,1.68,1,"yummy","yummy",NA,NA
"him",21,21,"3484.51",3.43,1.21,1,"him","him",NA,NA
"okay",22,21,"2006.27",3.43,1.5,0.95,"okay","okay","noun.communication","communication"
"chair",21,21,"49.24",3.43,1.33,1,"chair","chair","noun.artifact","artifact"
"finger",21,21,"36.67",3.43,2.2,1,"finger","finger","noun.body","body"
"spider",21,21,"10.10",3.43,1.54,1,"spider","spider","noun.animal","animal"
"foot",18,18,"64.92",3.44,1.38,1,"foot","foot","noun.body","body"
"noodle",18,18,"2.90",3.44,1.98,1,"noodle","noodle","noun.food","food"
"oink",19,18,"1.08",3.44,1.85,0.95,"oink","oink","noun.event","event"
"sorry",18,18,"1167.96",3.44,1.89,1,"sorry","sorry",NA,NA
"try",18,18,"476.75",3.44,2.15,1,"try","try","noun.act","act"
"eyes",22,22,"221.55",3.44,1.36,1,"eyes","eyes","noun.cognition","cognition"
"walk",20,20,"215.86",3.45,2.04,1,"walk","walk","noun.act","act"
"breakfast",19,19,"66.29",3.47,1.81,1,"breakfast","breakfast","noun.food","food"
"drink",19,19,"247.39",3.47,1.31,1,"drink","drink","noun.food","food"
"hill",19,19,"37.55",3.47,1.47,1,"hill","hill","noun.object","object"
"pillow",19,19,"11.39",3.47,1.35,1,"pillow","pillow","noun.artifact","artifact"
"sing",19,19,"97.59",3.47,1.31,1,"sing","sing",NA,NA
"sit",19,19,"311.35",3.47,2.25,1,"sit","sit",NA,NA
