Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,word,word_clean,wn_pos,wn_lexname,wn_lex_clean,wn_level1,wn_level2,wn_level1_name,wn_level2_name
bantling,21,1,#N/A,2,NA,0.05,bantling,bantling,NA,NA,NA,NA,NA,NA,NA
pyjamas,22,9,1.76,5.78,1.86,0.41,pyjamas,pyjamas,n,noun.artifact,artifact,trouser.n.01,garment.n.01,trouser,garment
miaow,19,9,0.06,6.19,3.23,0.47,miaow,miaow,n,noun.event,event,cry.n.05,sound.n.04,cry,sound
fink,19,11,4.04,7.27,1.19,0.58,fink,fink,n,noun.person,person,informer.n.01,informant.n.01,informer,informant
tock,18,12,0.92,6.5,3.66,0.67,tock,tock,NA,NA,NA,NA,NA,NA,NA
dormouse,19,12,0.1,7.75,2.53,0.63,dormouse,dormouse,n,noun.animal,animal,rodent.n.01,placental.n.01,rodent,placental
trainman,20,13,0.14,6.92,2.53,0.65,trainman,trainman,n,noun.person,person,employee.n.01,worker.n.01,employee,worker
liquorish,18,13,0.02,7,2.74,0.72,liquorish,liquorish,NA,NA,NA,NA,NA,NA,NA
beardy,18,13,0.02,7.23,1.74,0.72,beardy,beardy,NA,NA,NA,NA,NA,NA,NA
mammy,18,13,2.33,7.62,3.57,0.72,mammy,mammy,n,noun.person,person,nanny.n.01,keeper.n.01,nanny,keeper
eggcup,18,13,0.02,7.69,3.5,0.72,eggcup,eggcup,n,noun.artifact,artifact,crockery.n.01,tableware.n.01,crockery,tableware
footy,21,13,0.04,7.92,3.62,0.62,footy,footy,NA,NA,NA,NA,NA,NA,NA
gabber,19,13,0.02,7.92,3.12,0.68,gabber,gabber,NA,NA,NA,NA,NA,NA,NA
weeny,20,13,0.16,7.92,2.25,0.65,weeny,weeny,a,adj.all,all,NA,NA,NA,NA
bam,18,14,7.08,5.5,2.85,0.78,bam,bam,n,noun.location,location,NA,NA,NA,NA
bogyman,19,14,0.02,5.57,3.27,0.74,bogyman,bogyman,NA,NA,NA,NA,NA,NA,NA
sunshiny,18,14,0.22,6.21,2.99,0.78,sunshiny,sunshiny,NA,NA,NA,NA,NA,NA,NA
cheep,19,14,0.12,6.64,4.14,0.74,cheep,cheep,n,noun.event,event,cry.n.05,sound.n.04,cry,sound
totter,18,14,0.04,7.07,3.08,0.78,totter,totter,v,verb.motion,motion,rock.v.01,move_back_and_forth.v.01,rock,move_back_and_forth
cinder,18,14,0.76,7.57,3.98,0.78,cinder,cinder,n,noun.object,object,fragment.n.01,part.n.03,fragment,part
hayloft,18,14,0.24,7.57,3.11,0.78,hayloft,hayloft,n,noun.artifact,artifact,loft.n.02,floor.n.02,loft,floor
jokey,19,14,0.08,7.64,2.95,0.74,jokey,jokey,NA,NA,NA,NA,NA,NA,NA
blobby,19,14,0.1,7.79,2.83,0.74,blobby,blobby,NA,NA,NA,NA,NA,NA,NA
bucko,19,14,0.63,7.79,3.81,0.74,bucko,bucko,NA,NA,NA,NA,NA,NA,NA
rick,21,14,26.2,7.8,4.39,0.67,rick,rick,n,noun.state,state,spasm.n.01,symptom.n.01,spasm,symptom
campout,18,15,0.16,6.27,3.31,0.83,campout,campout,NA,NA,NA,NA,NA,NA,NA
wriggle,18,15,0.41,6.47,2.95,0.83,wriggle,wriggle,n,noun.act,act,motion.n.03,change.n.03,motion,change
orangey,18,15,0.02,7.07,4.1,0.83,orangey,orangey,NA,NA,NA,NA,NA,NA,NA
skittle,18,15,0.02,7.07,3.35,0.83,skittle,skittle,n,noun.artifact,artifact,bowling_pin.n.01,bowling_equipment.n.01,bowling_pin,bowling_equipment
neigh,18,15,0.24,7.2,3.73,0.83,neigh,neigh,n,noun.event,event,cry.n.05,sound.n.04,cry,sound
bumble,18,15,0.24,7.27,3.69,0.83,bumble,bumble,v,verb.social,social,fail.v.02,NA,fail,NA
popeyed,19,15,#N/A,7.27,2.19,0.79,popeyed,popeyed,a,adj.all,all,NA,NA,NA,NA
biggish,19,15,0.02,7.33,2.82,0.79,biggish,biggish,a,adj.all,all,NA,NA,NA,NA
