participant_id,age
p001,5.406726633
p002,5.499804458
p003,7.074606434
p004,5.737974189
p005,4.734824281
p006,4.592423551
p007,5
p008,5
p009,5
p010,7.307323751
p011,5.702385608
p012,7.43383024
p013,7.672041375
p014,6.102072741
p015,4.836147878
p016,5.863903011
p017,4.326396495
p018,6.044583496
p019,5.866640594
p020,3.948521358
p021,8.502190581
p022,6.461327858
p023,4.600638978
p024,4.792332268
p025,8.348341953
p026,6.669404517
p027,4.869009585
p028,6.836413415
p029,7.049965777
p030,8.47754655
p031,6
p032,7.387283237
p033,4.688270196
p034,7.46394889
p035,4.997717937
p036,
p037,7.123887748
p038,5.183934277
p039,4.219605696
p040,7.82537268
p041,6.893908282
p042,5.309904153
p043,7.312799452
p044,3.874589266
p045,7.981442044
p046,4.570515746
p047,4.908333333
p048,7.038888889
p049,7.7
p050,6.880555556
p051,7.338888889
p052,8.538888889
p053,8.916666667
p054,
p055,8.577777778
