participant_id,block,trial,image_name,posX,posY,image_stem,base_name,set,category
p002,1,1,acorn_1.jpg,424,624,acorn_1,acorn,1,plants
p002,1,1,apple_1.jpg,944,104,apple_1,apple,1,plants
p002,1,1,blueberry_1.jpg,320,208,blueberry_1,blueberry,1,plants
p002,1,1,broccoli_1.jpg,424,416,broccoli_1,broccoli,1,plants
p002,1,1,cabbage_1.jpg,1048,312,cabbage_1,cabbage,1,plants
p002,1,1,cactus_1.jpg,112,104,cactus_1,cactus,1,plants
p002,1,1,cherry_1.jpg,1048,624,cherry_1,cherry,1,plants
p002,1,1,flower_1.jpg,632,624,flower_1,flower,1,plants
p002,1,1,grass_1.jpg,216,624,grass_1,grass,1,plants
p002,1,1,leaf_1.jpg,112,416,leaf_1,leaf,1,plants
p002,1,1,peanut_1.jpg,528,104,peanut_1,peanut,1,plants
p002,1,1,tree_1.jpg,840,416,tree_1,tree,1,plants
p002,1,2,butterfly_1.jpg,320,312,butterfly_1,butterfly,1,animals
p002,1,2,dolphin_1.jpg,112,104,dolphin_1,dolphin,1,animals
p002,1,2,fish_1.jpg,1048,624,fish_1,fish,1,animals
p002,1,2,fox_1.jpg,424,416,fox_1,fox,1,animals
p002,1,2,horse_1.jpg,112,416,horse_1,horse,1,animals
p002,1,2,ladybug_1.jpg,840,416,ladybug_1,ladybug,1,animals
p002,1,2,lion_1.jpg,1048,104,lion_1,lion,1,animals
p002,1,2,peacock_1.jpg,424,104,peacock_1,peacock,1,animals
p002,1,2,pigeon_1.jpg,1048,312,pigeon_1,pigeon,1,animals
p002,1,2,sheep_1.jpg,632,416,sheep_1,sheep,1,animals
p002,1,2,squirrel_1.jpg,840,208,squirrel_1,squirrel,1,animals
p002,1,2,wolf_1.jpg,736,104,wolf_1,wolf,1,animals
p002,1,3,angry_1.jpg,112,416,angry_1,angry,1,emotions
p002,1,3,angry_2.jpg,320,416,angry_2,angry,2,emotions
p002,1,3,disgust_1.jpg,424,416,disgust_1,disgust,1,emotions
p002,1,3,disgust_2.jpg,736,104,disgust_2,disgust,2,emotions
p002,1,3,fearful_1.jpg,736,416,fearful_1,fearful,1,emotions
p002,1,3,fearful_2.jpg,112,104,fearful_2,fearful,2,emotions
p002,1,3,happy_1.jpg,944,312,happy_1,happy,1,emotions
p002,1,3,happy_2.jpg,1048,312,happy_2,happy,2,emotions
p002,1,3,sad_1.jpg,216,416,sad_1,sad,1,emotions
p002,1,3,sad_2.jpg,424,104,sad_2,sad,2,emotions
p002,1,3,surprise_1.jpg,1048,624,surprise_1,surprise,1,emotions
p002,1,3,surprise_2.jpg,944,624,surprise_2,surprise,2,emotions
p002,2,4,acorn_2.jpg,1048,208,acorn_2,acorn,2,plants
p002,2,4,apple_2.jpg,320,624,apple_2,apple,2,plants
p002,2,4,blueberry_2.jpg,528,520,blueberry_2,blueberry,2,plants
p002,2,4,broccoli_2.jpg,112,624,broccoli_2,broccoli,2,plants
