"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","placements","move_log","is_final_summary","rt","stimulus","response"
"html-button-response","0","2.1.0","14845","testj","7","","","","","","","","","","","","","","",""
"preload","1","2.1.0","30575","testj","7","true","false","[]","[]","[]","","","","","","","","","",""
"html-button-response","2","2.1.0","35793","testj","7","","","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","43391","testj","7","","","","","","","","","","","","","","",""
"emotion-grid","4","null","92964","testj","7","","","","","","demo","practice","null","-1","[{""image_name"":""sandwich.jpg"",""posX"":823,""posY"":366.5},{""image_name"":""hamburger.jpg"",""posX"":882,""posY"":396},{""image_name"":""french_fries_1.jpg"",""posX"":798.5,""posY"":435.5},{""image_name"":""ice_cream_1.jpg"",""posX"":391.5,""posY"":346},{""image_name"":""cookie.jpg"",""posX"":407.5,""posY"":415}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""sandwich.jpg"",""posX"":546.5,""posY"":355.5,""timestamp"":51491},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""hamburger.jpg"",""posX"":611.5,""posY"":482.5,""timestamp"":54007},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":504.5,""posY"":445,""timestamp"":63591},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""hamburger.jpg"",""posX"":882,""posY"":396,""timestamp"":64224.99999999999},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""sandwich.jpg"",""posX"":823,""posY"":366.5,""timestamp"":64675},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":798.5,""posY"":435.5,""timestamp"":65958},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""ice_cream_1.jpg"",""posX"":391.5,""posY"":346,""timestamp"":69475.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":407.5,""posY"":415,""timestamp"":70174}]","1","","",""
"html-button-response","5","2.1.0","102041","testj","7","","","","","","","","","","","","","","",""
"html-button-response","6","2.1.0","107508","testj","7","","","","","","","","","","","","","","",""
"html-button-response","7","2.1.0","109390","testj","7","","","","","","","","","","","","","","",""
"emotion-grid","8","null","116507","testj","7","","","","","","demo","practice","null","-2","[{""image_name"":""toast.jpg"",""posX"":668,""posY"":209},{""image_name"":""bread.jpg"",""posX"":679,""posY"":344.5},{""image_name"":""croissant.jpg"",""posX"":676.5,""posY"":481},{""image_name"":""chocolate_2.jpg"",""posX"":661,""posY"":606},{""image_name"":""candy.jpg"",""posX"":528.5,""posY"":213.5}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""toast.jpg"",""posX"":668,""posY"":209,""timestamp"":111842},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""bread.jpg"",""posX"":679,""posY"":344.5,""timestamp"":112774},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""croissant.jpg"",""posX"":676.5,""posY"":481,""timestamp"":113575},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""posX"":661,""posY"":606,""timestamp"":114291},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""candy.jpg"",""posX"":528.5,""posY"":213.5,""timestamp"":115342}]","1","","",""
"html-button-response","9","2.1.0","118942","testj","7","","","","","","","","","","","","","2432","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","10","2.1.0","123293","testj","7","","","","","","","","","","","","","","",""
"html-button-response","11","2.1.0","124409","testj","7","","","","","","","","","","","","","1115","
            <div style=""font-size:24px; padding:20px;"">
              Block 1 of 3
            </div>
          ","0"
"html-button-response","12","2.1.0","194845","testj","7","","","","","","","","","","","","","","",""
